English,French,German,Spanish,Scottish
Add some breakpoints and lets try a debugger!,Ajoute quelques points d'arrêt et essayons un débogueur !,Füg ein paar Haltepunkte hinzu und lass uns einen Debugger ausprobieren!,¡Añade algunos puntos de interrupción y probemos un depurador!,Add some breakpoints and let's try a debugger!
Should we approach this problem from a different angle,Devons-nous aborder ce problème sous un angle différent,Sollten wir dieses Problem aus einem anderen Blickwinkel angehen,¿Deberíamos abordar este problema desde otro ángulo?,Should we approach this problem frae a different angle
I think the problem is in the code,Je pense que le problème est dans le code,"Ich denke, das Problem liegt im Code",Creo que el problema está en el código,I think the problem's in the code
Are you on the correct git branch?,Es-tu sur la bonne branche git ?,Bist du auf dem richtigen Git-Branch?,¿Estás en la rama de git correcta?,Are ye on the correct git branch?
Have you read the error log?,As-tu lu le journal d'erreurs ?,Hast du das Fehlerprotokoll gelesen?,¿Has leído el registro de errores?,Hae ye read the error log?
Have you googled your error message?,As-tu googlé ton message d'erreur ?,Hast du deine Fehlermeldung gegoogelt?,¿Has buscado tu mensaje de error en Google?,Hae ye googled yer error message?
Have you check stack overflow?,As-tu vérifié Stack Overflow ?,Hast du Stack Overflow überprüft?,¿Has comprobado Stack Overflow?,Hae ye checked Stack Overflow?
Have you submitted your problem to stackoverflow?,As-tu soumis ton problème à Stack Overflow ?,Hast du dein Problem bei Stack Overflow eingereicht?,¿Has enviado tu problema a Stack Overflow?,Hae ye submitted yer problem tae Stack Overflow?
Can you ask your tutor about it,Peux-tu demander à ton tuteur à ce sujet,Kannst du deinen Tutor danach fragen?,¿Puedes preguntarle a tu tutor sobre ello?,Can ye ask yer tutor aboot it
Can you ask your lecturer about it,Peux-tu demander à ton enseignant à ce sujet,Kannst du deinen Dozenten danach fragen?,¿Puedes preguntarle a tu profesor sobre ello?,Can ye ask yer lecturer aboot it
Have you checked what it is actually doing?,As-tu vérifié ce qu'il fait réellement ?,"Hast du überprüft, was es tatsächlich tut?",¿Has comprobado lo que realmente está haciendo?,Hae ye checked whit it is actually doin'?
Try to keep your feedback loop small,Essaie de garder ta boucle de rétroaction courte,"Versuch, deine Feedback-Schleife klein zu halten",Intenta mantener pequeño tu ciclo de retroalimentación,Try tae keep yer feedback loop wee
Have you fully understood your problem?,As-tu bien compris ton problème ?,Hast du dein Problem vollständig verstanden?,¿Has entendido completamente tu problema?,Hae ye fully understood yer problem?
"Get someone else to read your code, can you explain why each line exists?","Fais lire ton code à quelqu'un d'autre, peux-tu expliquer pourquoi chaque ligne existe ?","Lass jemand anderen deinen Code lesen, kannst du erklären, warum jede Zeile existiert?","Haz que otra persona lea tu código, ¿puedes explicar por qué existe cada línea?","Get someone else tae read yer code, can ye explain why ilka line exists?"
Write some small unit tests!,Écris quelques petits tests unitaires !,Schreib ein paar kleine Unit-Tests!,¡Escribe algunas pruebas unitarias pequeñas!,Write some wee unit tests!
Are you using TDD,Utilises-tu le TDD ?,Verwendest du TDD?,¿Estás usando TDD?,Are ye usin' TDD
Have a walk and come back to it,Va faire une promenade et reviens-y,Mach einen Spaziergang und komm dann zurück,Da un paseo y vuelve a ello,Tak a walk and come back tae it
Have you slept recently....,As-tu dormi récemment....,Hast du in letzter Zeit geschlafen....,¿Has dormido recientemente....,Hae ye slept recently....
Take care of yourself !,Prends soin de toi !,Pass auf dich auf!,¡Cuídate!,Tak care o yersel' !
Have a shower and come back to work,Va prendre une douche et reviens au travail,Geh duschen und komm dann zur Arbeit zurück,Date una ducha y vuelve al trabajo,Tak a shower and come back tae work
I’m a duck not a programmer,"Je suis un canard, pas un programmeur","Ich bin eine Ente, kein Programmierer","Soy un pato, no un programador","I'm a duck, no a programmer"
It always seems impossible until its done,Cela semble toujours impossible jusqu'à ce que ce soit fait,"Es scheint immer unmöglich, bis es getan ist",Siempre parece imposible hasta que se hace,It aye seems impossible until it's done
I’m happy you’ve made a start,Je suis content/contentе que tu aies commencé,"Ich freue mich, dass du einen Anfang gemacht hast",Me alegra que hayas empezado,I'm happy ye've made a start
Don’t be intimidated by what you don’t know,Ne te laisse pas intimider par ce que tu ne sais pas,"Lass dich nicht von dem einschüchtern, was du nicht weißt",No te intimides por lo que no sabes,Dinna be intimitated by whit ye dinna ken
You ducking idiot,Espèce d'idiot de canard,Du verdammter Idiot,Eres un idiota de mierda,Ye duckin' idiot
Java Java Java,Java Java Java,Java Java Java,Java Java Java,Java Java Java
Nerd alert!,Alerte nerd !,Nerd-Alarm!,¡Alerta nerd!,Nerd alert!
I also hate haskell.,Je déteste aussi Haskell.,Ich hasse Haskell auch.,Yo también odio Haskell.,I also hate Haskell.
You know why I don’t code in Java? Because I C#,Tu sais pourquoi je ne code pas en Java ? Parce que j'utilise C#,"Weißt du, warum ich nicht in Java programmiere? Weil ich C# verwende",¿Sabes por qué no programo en Java? Porque uso C#,Ye ken why I dinna code in Java? Because I C#
"Focus on the internship, not the coursework","Concentre-toi sur le stage, pas sur les cours","Konzentrier dich auf das Praktikum, nicht auf die Kursarbeit","Céntrate en las prácticas, no en el trabajo del curso","Focus on the internship, no the coursework"
Could you get me an internship? #keephustling,Pourrais-tu me trouver un stage ? #keephustling,Könntest du mir ein Praktikum besorgen? #keephustling,¿Podrías conseguirme unas prácticas? #keephustling,Could ye get me an internship? #keephustling
"Could not translate, too many profanities","Impossible à traduire, trop de grossièretés","Konnte nicht übersetzen, zu viele Schimpfwörter","No se pudo traducir, demasiados insultos","Couldnae translate, owre mony profanities"
Hmm intriguing. Let me get back to you,"Hmm, intriguant. Je te recontacte","Hm, interessant. Ich melde mich bei dir zurück","Hmm, intrigante. Déjame volver a ti",Hmm intriguing. Let me get back tae ye
Ssssss I’m a snake like a python (see what I did there),Ssssss je suis un serpent comme un python (tu as vu le jeu de mots ?),"Ssssss ich bin eine Schlange wie ein Python (siehst du, was ich da gemacht habe?)",Ssssss soy una serpiente como un pitón (¿ves lo que hice ahí?),Ssssss I'm a snake like a python (see whit I did there)
0100100001100101011011000111000000100001001000000100100100100000011001000110111101101110001001110111010000100000011011000110100101101011011001010010000001100011011011110110010001100101,0100100001100101011011000111000000100001001000000100100100100000011001000110111101101110001001110111010000100000011011000110100101101011011001010010000001100011011011110110010001100101,0100100001100101011011000111000000100001001000000100100100100000011001000110111101101110001001110111010000100000011011000110100101101011011001010010000001100011011011110110010001100101,0100100001100101011011000111000000100001001000000100100100100000011001000110111101101110001001110111010000100000011011000110100101101011011001010010000001100011011011110110010001100101,0100100001100101011011000111000000100001001000000100100100100000011001000110111101101110001001110111010000100000011011000110100101101011011001010010000001100011011011110110010001100101
I hate this back alley coding,Je déteste ce code de fond de ruelle,Ich hasse dieses Hinterhof-Coding,Odio este código de callejón trasero,I hate this back alley coding
"Too low level, didn’t read (TLDR)","Trop bas niveau, je n'ai pas lu (TLDR)","Zu niedriglevelig, habe ich nicht gelesen (TLDR)","Demasiado de bajo nivel, no lo leí (TLDR)","Too low level, didnae read (TLDR)"
Hex??? Don’t cast your witch spells on me,Hexa ??? Ne me jette pas tes sorts de sorcière,Hex??? Wirf keine Hexensprüche auf mich,¿Hex??? No me eches tus hechizos de bruja,Hex??? Dinna cast yer witch spells on me
"Just keep coding, just keep coding, just keep coding...","Continue simplement à coder, continue simplement à coder, continue simplement à coder...","Einfach weiter programmieren, einfach weiter programmieren, einfach weiter programmieren...","Sigue programando, sigue programando, sigue programando...","Jist keep codin', jist keep codin', jist keep codin'..."
Does every line have the correct amount of brackets?,Chaque ligne a-t-elle le bon nombre de crochets / parenthèses ?,Hat jede Zeile die richtige Anzahl an Klammern?,¿Tiene cada línea la cantidad correcta de paréntesis?,Dae every line hae the correct amount o brackets?
You’re absolutely bash-ing this!,Tu déchires complètement avec bash !,Du rockst das mit Bash total!,¡Lo estás petando con Bash!,Ye're absolutely bash-ing this!
"Try centering a div first, then this will seem easy","Essaie de centrer un div d'abord, puis ça te semblera facile","Versuch zuerst, ein Div zu zentrieren, dann wird dir das hier leicht vorkommen","Intenta centrar un div primero, luego esto te parecerá fácil","Try centerin' a div first, then this will seem easy"
Could you help me find my pond first?,Pourrais-tu d'abord m'aider à trouver mon étang ?,"Könntest du mir zuerst helfen, meinen Teich zu finden?",¿Podrías ayudarme a encontrar mi estanque primero?,Could ye help me find my pond first?
I’m always happy to help!,Je suis toujours heureux/heureuse d'aider !,Ich helfe immer gern!,¡Siempre feliz de ayudar!,I'm aye happy tae help!
Nice to meet you,Enchanté(e),"Freut mich, dich kennenzulernen",Encantado/a de conocerte,Nice tae meet ye
six seven haha,six seven haha,six seven haha,six seven haha,six seven haha
Have you saved recently?,As-tu enregistré récemment ?,Hast du kürzlich gespeichert?,¿Has guardado recientemente?,Hae ye saved recently?
Make sure you commit and push regularly,Assure-toi de faire des commits et de pousser régulièrement,"Stell sicher, dass du regelmäßig commitest und pushst",Asegúrate de hacer commit y push con regularidad,Mak sure ye commit and push regularly
Have you done your daily leetcode yet?,As-tu déjà fait ton LeetCode du jour ?,Hast du schon dein tägliches LeetCode gemacht?,¿Ya hiciste tu LeetCode diario?,Hae ye done yer daily leetcode yet?
Try commenting your code,Essaie de commenter ton code,"Versuch, deinen Code zu kommentieren",Intenta comentar tu código,Try commentin' yer code
Remember to comment your code!,N'oublie pas de commenter ton code !,"Denk daran, deinen Code zu kommentieren!",¡Recuerda comentar tu código!,Mind tae comment yer code!
Test your code now! Not the night before the deadline!,Teste ton code maintenant ! Pas la veille de la date limite !,Teste deinen Code jetzt! Nicht erst in der Nacht vor der Abgabefrist!,¡Prueba tu código ahora! ¡No la noche antes de la fecha límite!,Test yer code noo! No the nicht afore the deadline!
Have you started your report yet?,As-tu déjà commencé ton rapport ?,Hast du deinen Bericht schon angefangen?,¿Ya has empezado tu informe?,Hae ye started yer report yet?
You should enter a hackathon,Tu devrais participer à un hackathon,Du solltest an einem Hackathon teilnehmen,Deberías inscribirte en un hackathon,Ye should enter a hackathon
Have you wrote some pseudocode for this function?,As-tu écrit du pseudocode pour cette fonction ?,Hast du etwas Pseudocode für diese Funktion geschrieben?,¿Has escrito pseudocódigo para esta función?,Hae ye wrote some pseudocode for this function?
Duck says you may watch 5 minutes of Instagram reels,Le canard dit que tu peux regarder 5 minutes de reels Instagram,"Die Ente sagt, du darfst 5 Minuten Instagram-Reels schauen",El pato dice que puedes ver 5 minutos de reels de Instagram,Duck says ye may watch 5 minutes o Instagram reels
Go chat to a friend,Va discuter avec un ami,Geh und sprich mit einem Freund,Ve a hablar con un amigo,Gae chat tae a friend
Grab a coffee then your problems will solve!,"Prends un café, puis tes problèmes se résoudront !","Hol dir einen Kaffee, dann lösen sich deine Probleme!",Tómate un café y luego tus problemas se resolverán,Grab a coffee then yer problems'll solve!
I agree javascript is the bane of my existence too!,"Je suis d'accord, JavaScript est aussi le fléau de mon existence !","Ich stimme zu, JavaScript ist auch der Fluch meiner Existenz!","Estoy de acuerdo, JavaScript también es la pesadilla de mi existencia","Aye agree, JavaScript is the bane o my existence too!"
Check w3 schools,Vérifie W3Schools,Schau bei W3Schools nach,Consulta W3Schools,Check W3Schools
Have you looked at geeks4geeks?,As-tu regardé GeeksforGeeks ?,Hast du bei GeeksforGeeks nachgeschaut?,¿Has mirado GeeksforGeeks?,Hae ye looked at GeeksforGeeks?
Check the original documentation for the language,Vérifie la documentation originale du langage,Schau in die Originaldokumentation der Sprache,Consulta la documentación original del lenguaje,Check the original documentation for the language
Have you actually read every line of your code ...?,As-tu vraiment lu chaque ligne de ton code ... ?,Hast du wirklich jede Zeile deines Codes gelesen ...?,¿Has leído de verdad cada línea de tu código ...?,Hae ye actually read ilka line o yer code ...?
You deserve a sweet treat after all this hard work,Tu mérites une petite douceur après tout ce travail,Nach all dieser harten Arbeit verdienst du eine süße Belohnung,Te mereces un dulce después de todo este trabajo duro,Ye deserve a sweet treat efter a' this hard work
Go look at assembly code and be thankful you’re not programming in it,Va regarder du code assembleur et sois reconnaissant de ne pas programmer dedans,"Schau dir Assemblercode an und sei dankbar, dass du nicht darin programmierst",Ve a mirar código ensamblador y agradece no estar programando en él,Gae luik at assembly code and be thankfu' ye're no programm in it
I like listening to rock music whilst coding,J'aime écouter du rock pendant que je code,Ich höre beim Programmieren gern Rockmusik,Me gusta escuchar rock mientras programo,I like listenin' tae rock music whilst codin'
Have you drunk water recently?,As-tu bu de l'eau récemment ?,Hast du in letzter Zeit Wasser getrunken?,¿Has bebido agua recientemente?,Hae ye drunk water recently?
Have you eaten recently?,As-tu mangé récemment ?,Hast du in letzter Zeit gegessen?,¿Has comido recientemente?,Hae ye eaten recently?
Why don’t you stretch your legs?,Pourquoi ne pas te dégourdir les jambes ?,Warum streckst du nicht mal die Beine?,¿Por qué no estiras las piernas?,Why dinna ye stretch yer legs?
Have you tried downloading more RAM?,As-tu essayé de télécharger plus de RAM ?,"Hast du versucht, mehr RAM herunterzuladen?",¿Has intentado descargar más RAM?,Hae ye tried downloadin' mair RAM?
Are you connected to eduroam?,Es-tu connecté à eduroam ?,Bist du mit eduroam verbunden?,¿Estás conectado a eduroam?,Are ye connected tae eduroam?
"Find Al Dearle, he has the answers you seek.","Trouve Al Dearle, il a les réponses que tu cherches.","Finde Al Dearle, er hat die Antworten, die du suchst.","Encuentra a Al Dearle, él tiene las respuestas que buscas.","Fynd Al Dearle, he has the answers ye seek."
